 id	sentiment	
275_10	0	______ is having trouble because he frequently speaks out loud, disrupting the other pupils. He's working on changing this unhealthy behaviour, and he's made some progress in the last several weeks.
2246_1	0	____ is prone to making careless mistakes.
11968_2	0	_____ is untidy.
2528_1	0	Proofreading is something that _____ must do.
8491_8	0	If _____ is to gain the fundamentals required for ____ grade work, he must improve his work habits.
13_1	0	_____'s efforts are inconsistent, particularly in ____.
4530_8	0	When not directly supervised, _____ makes little effort. _____ is eager to please.
5207_3	0	Although ______'s attitude toward his schoolwork has improved, it has not been consistent. Throughout the rest of the school year, he will require consistent guidance from both home and school.
11648_10	0	This report card reflects _______'s attitude toward school. He could do better if he worked harder and cooperated more.
8260_1	0	This reporting quarter reflects ______'s attitude toward our school rules, other students, and myself. She has the potential to be a successful student if she works hard enough.
10730_10	0	As my previous reports have shown, _____ does not complete his schoolwork. He can do better if he makes the decision to work harder and finish his assignments.
10402_3	0	Although _____'s attitude toward her classmates has improved, she still needs to be reminded to be respectful on a regular basis.
8077_1	0	As we discussed in our last meeting, _______ has a negative attitude toward basic skills. Please continue to do a nightly review with her, focusing especially on .
8598_8	0	Has difficulty staying focused and on task. � Needs to actively participate in classroom discussion.
2809_3	0	Needs to work on not distracting others during class.
12490_10	0	Is learning to be careful, cooperative, and fair.
1447_9	0	I would like to see him/her work on�
1605_3	0	One area for improvement is�
2311_4	0	Eager to participate in class but needs to raise his/her hand.
3235_9	0	Is becoming more independent when completing class assignments.
5725_10	0	Needs frequent reminders to stay focused throughout the day.
9025_10	0	When motivated, does well on class assignments.
6049_9	0	Needs to work on following written and oral directions.
4803_10	0	Needs to actively participate in classroom discussions.
191_9	0	Frequent absences are affecting (name�s) schoolwork.
420_3	0	Needs to work on treating others with respect.
5238_2	0	Needs to work on completing homework assignments on time.
1280_9	0	Frequently comes to class unprepared.
